Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
grover-v-chain_3_mqt.py,23,0.11702753408369794,0.11609834706419037,Local Standard
pe_4_mqt.py,24,0.23958263134846336,0.2332745148857917,Local Standard
vqe_indep_4_mqt.py,25,0.1540989851570247,0.15015552179184746,Local Standard
qft_3_vq.py,26,0.06489763169526247,0.06483521676009975,Local Standard
grover_3_vq.py,27,0.11062199688834388,0.10959512997082956,Local Standard
pe_2_vq.py,28,0.07533172626078795,0.0745456541168759,Local Standard
bv_4_vq.py,29,0.11518281271225445,0.11415969592918247,Local Standard
qft_3_mqt.py,30,0.10923428671051821,0.10898766592385181,Local Standard
tsp_indep_4_mqt.py,31,0.10349993944827898,0.10288685441897052,Local Standard
qft_7_vq.py,32,0.26433215506560537,0.2605429026769548,Local Standard
bv_9_vq.py,33,0.3674525457487757,0.34428660109717746,Local Standard
kickback_7_vq.py,34,0.0062237923841215285,0.006223772277376485,Local Standard
bv_3_vq.py,35,0.09510645806125258,0.09421114039227757,Local Standard
bv_2_vq.py,36,0.13539675135184584,0.13137172387888899,Local Standard
pe_3_mqt.py,37,0.11001456016861627,0.10912010514705776,Local Standard
pe_5_mqt.py,38,0.19124621563607996,0.18879487452354274,Local Standard
qaoa_indep_3_mqt.py,39,0.11345333157486641,0.11288367296058346,Local Standard
su2_5_vq.py,40,0.19622652121293677,0.1858596720823424,Local Standard
pe_5_vq.py,41,0.0744957021551739,0.07412966595622683,Local Standard
qft_4_mqt.py,42,0.14405970012731462,0.14351300806264874,Local Standard
shor_mod15_mqt.py,43,0.09286056902784122,0.0915021236419996,Local Standard
tsp_indep_5_mqt.py,44,0.1250776985209635,0.12486537842789532,Local Standard
3_17tc_vq.py,45,0.138538698544102,0.13790345174207522,Local Standard
shor_mod21_mqt.py,46,0.11797340019364982,0.11764254602100678,Local Standard
pe_6_mqt.py,47,0.5237382945246284,0.500012868865172,Local Standard
3_17tc_vq.py,48,0.10367364681171225,0.10293632212645723,Local Standard
tsp_indep_4_mqt.py,49,0.11023005126037522,0.10964920128648645,Local Standard
qwalk-noancilla_3_mqt.py,50,0.15956069730905187,0.15910309062219627,Local Standard
qwalk-v-chain_5_mqt.py,51,0.12817922063578546,0.12774524225464068,Local Standard
su2_5_vq.py,52,0.12134785087495739,0.11908519775612067,Local Standard
qft_2_mqt.py,53,0.10783116585578141,0.10766768343505884,Local Standard
qwalk-v-chain_3_mqt.py,54,0.29756983340615667,0.29420644913076455,Local Standard
qaoa_indep_4_mqt.py,55,0.17350553631651705,0.1721483949532946,Local Standard
qaoa_indep_3_mqt.py,56,0.12407030603350674,0.12370691949627545,Local Standard
su2random_3_mqt.py,57,0.03519536306956591,0.03518669122873885,Local Standard
vqe_indep_3_mqt.py,58,0.11647117855018271,0.11509038591403421,Local Standard
qaoa_indep_5_mqt.py,59,0.11705740506612579,0.11640896271541824,Local Standard
vqe_indep_4_mqt.py,60,0.13498586689161884,0.13289415370795662,Local Standard
vqe_indep_5_mqt.py,61,0.11740123641081518,0.11593372503924286,Local Standard
